"hhsize","nInfContacts","nContacts","sim"
2,10,32,1053
3,25,82,1053
4,34,144,1053
5,68,180,1053
6,39,100,1053
7,27,54,1053
8,25,63,1053
12,1,11,1053
2,15,32,1054
3,33,82,1054
4,42,144,1054
5,86,180,1054
6,28,100,1054
7,27,54,1054
8,15,63,1054
12,0,11,1054
2,8,32,1055
3,25,82,1055
4,38,144,1055
5,68,180,1055
6,32,100,1055
7,23,54,1055
8,26,63,1055
12,3,11,1055
2,10,32,1056
3,29,82,1056
4,40,144,1056
5,54,180,1056
6,37,100,1056
7,20,54,1056
8,24,63,1056
12,2,11,1056
2,10,32,1057
3,32,82,1057
4,35,144,1057
5,52,180,1057
6,41,100,1057
7,28,54,1057
8,18,63,1057
12,4,11,1057
2,12,32,1058
3,32,82,1058
4,36,144,1058
5,58,180,1058
6,36,100,1058
7,20,54,1058
8,22,63,1058
12,1,11,1058
2,13,32,1059
3,29,82,1059
4,39,144,1059
5,63,180,1059
6,32,100,1059
7,29,54,1059
8,19,63,1059
12,0,11,1059
2,11,32,1060
3,24,82,1060
4,37,144,1060
5,74,180,1060
6,35,100,1060
7,19,54,1060
8,30,63,1060
12,1,11,1060
2,10,32,1061
3,33,82,1061
4,41,144,1061
5,45,180,1061
6,30,100,1061
7,24,54,1061
8,25,63,1061
12,2,11,1061
2,12,32,1062
3,30,82,1062
4,46,144,1062
5,64,180,1062
6,42,100,1062
7,24,54,1062
8,21,63,1062
12,0,11,1062
2,15,32,1063
3,24,82,1063
4,40,144,1063
5,67,180,1063
6,45,100,1063
7,25,54,1063
8,37,63,1063
12,4,11,1063
2,14,32,1064
3,28,82,1064
4,34,144,1064
5,63,180,1064
6,42,100,1064
7,28,54,1064
8,32,63,1064
12,5,11,1064
2,14,32,1065
3,33,82,1065
4,41,144,1065
5,73,180,1065
6,33,100,1065
7,17,54,1065
8,29,63,1065
12,2,11,1065
2,9,32,1066
3,30,82,1066
4,39,144,1066
5,56,180,1066
6,36,100,1066
7,23,54,1066
8,19,63,1066
12,2,11,1066
2,9,32,1067
3,32,82,1067
4,42,144,1067
5,56,180,1067
6,38,100,1067
7,26,54,1067
8,38,63,1067
12,0,11,1067
2,13,32,1068
3,29,82,1068
4,42,144,1068
5,69,180,1068
6,36,100,1068
7,22,54,1068
8,30,63,1068
12,5,11,1068
2,9,32,1069
3,18,82,1069
4,38,144,1069
5,52,180,1069
6,39,100,1069
7,20,54,1069
8,25,63,1069
12,5,11,1069
2,11,32,1070
3,29,82,1070
4,43,144,1070
5,66,180,1070
6,39,100,1070
7,24,54,1070
8,23,63,1070
12,1,11,1070
2,16,32,1071
3,40,82,1071
4,26,144,1071
5,54,180,1071
6,31,100,1071
7,20,54,1071
8,24,63,1071
12,3,11,1071
2,9,32,1072
3,27,82,1072
4,43,144,1072
5,66,180,1072
6,34,100,1072
7,28,54,1072
8,28,63,1072
12,7,11,1072
2,16,32,1073
3,28,82,1073
4,49,144,1073
5,64,180,1073
6,35,100,1073
7,23,54,1073
8,26,63,1073
12,0,11,1073
2,11,32,1074
3,26,82,1074
4,37,144,1074
5,65,180,1074
6,42,100,1074
7,30,54,1074
8,27,63,1074
12,2,11,1074
2,14,32,1075
3,31,82,1075
4,35,144,1075
5,61,180,1075
6,43,100,1075
7,27,54,1075
8,24,63,1075
12,3,11,1075
2,9,32,1076
3,28,82,1076
4,42,144,1076
5,56,180,1076
6,38,100,1076
7,21,54,1076
8,27,63,1076
12,3,11,1076
2,12,32,1077
3,32,82,1077
4,45,144,1077
5,61,180,1077
6,41,100,1077
7,21,54,1077
8,18,63,1077
12,2,11,1077
2,9,32,1078
3,24,82,1078
4,40,144,1078
5,63,180,1078
6,39,100,1078
7,21,54,1078
8,27,63,1078
12,4,11,1078
2,11,32,1079
3,22,82,1079
4,43,144,1079
5,56,180,1079
6,46,100,1079
7,13,54,1079
8,35,63,1079
12,7,11,1079
2,12,32,1080
3,37,82,1080
4,43,144,1080
5,69,180,1080
6,38,100,1080
7,22,54,1080
8,27,63,1080
12,1,11,1080
2,9,32,1081
3,30,82,1081
4,46,144,1081
5,50,180,1081
6,35,100,1081
7,24,54,1081
8,31,63,1081
12,1,11,1081
2,13,32,1082
3,25,82,1082
4,40,144,1082
5,73,180,1082
6,36,100,1082
7,17,54,1082
8,30,63,1082
12,0,11,1082
2,12,32,1083
3,23,82,1083
4,49,144,1083
5,66,180,1083
6,48,100,1083
7,21,54,1083
8,24,63,1083
12,3,11,1083
2,15,32,1084
3,28,82,1084
4,52,144,1084
5,53,180,1084
6,41,100,1084
7,26,54,1084
8,31,63,1084
12,3,11,1084
2,10,32,1085
3,31,82,1085
4,46,144,1085
5,62,180,1085
6,32,100,1085
7,26,54,1085
8,33,63,1085
12,5,11,1085
2,15,32,1086
3,27,82,1086
4,36,144,1086
5,65,180,1086
6,32,100,1086
7,21,54,1086
8,26,63,1086
12,2,11,1086
2,10,32,1087
3,27,82,1087
4,47,144,1087
5,67,180,1087
6,36,100,1087
7,25,54,1087
8,29,63,1087
12,4,11,1087
2,12,32,1088
3,30,82,1088
4,45,144,1088
5,55,180,1088
6,28,100,1088
7,26,54,1088
8,29,63,1088
12,4,11,1088
2,13,32,1089
3,19,82,1089
4,50,144,1089
5,48,180,1089
6,26,100,1089
7,21,54,1089
8,33,63,1089
12,7,11,1089
2,13,32,1090
3,17,82,1090
4,44,144,1090
5,55,180,1090
6,30,100,1090
7,25,54,1090
8,26,63,1090
12,4,11,1090
2,10,32,1091
3,33,82,1091
4,31,144,1091
5,64,180,1091
6,25,100,1091
7,25,54,1091
8,19,63,1091
12,0,11,1091
2,8,32,1092
3,33,82,1092
4,44,144,1092
5,69,180,1092
6,38,100,1092
7,28,54,1092
8,29,63,1092
12,0,11,1092
2,9,32,1093
3,27,82,1093
4,42,144,1093
5,70,180,1093
6,28,100,1093
7,29,54,1093
8,37,63,1093
12,2,11,1093
2,13,32,1094
3,33,82,1094
4,37,144,1094
5,64,180,1094
6,32,100,1094
7,28,54,1094
8,22,63,1094
12,3,11,1094
2,6,32,1095
3,32,82,1095
4,50,144,1095
5,55,180,1095
6,37,100,1095
7,25,54,1095
8,33,63,1095
12,4,11,1095
2,10,32,1096
3,24,82,1096
4,38,144,1096
5,60,180,1096
6,33,100,1096
7,26,54,1096
8,26,63,1096
12,4,11,1096
2,11,32,1097
3,30,82,1097
4,29,144,1097
5,72,180,1097
6,34,100,1097
7,28,54,1097
8,28,63,1097
12,3,11,1097
2,6,32,1098
3,31,82,1098
4,31,144,1098
5,56,180,1098
6,38,100,1098
7,25,54,1098
8,28,63,1098
12,4,11,1098
2,10,32,1099
3,26,82,1099
4,32,144,1099
5,57,180,1099
6,36,100,1099
7,20,54,1099
8,25,63,1099
12,4,11,1099
2,10,32,1100
3,25,82,1100
4,38,144,1100
5,58,180,1100
6,27,100,1100
7,21,54,1100
8,25,63,1100
12,6,11,1100
2,13,32,1101
3,32,82,1101
4,38,144,1101
5,69,180,1101
6,27,100,1101
7,21,54,1101
8,21,63,1101
12,3,11,1101
2,13,32,1102
3,30,82,1102
4,33,144,1102
5,71,180,1102
6,29,100,1102
7,28,54,1102
8,25,63,1102
12,1,11,1102
2,12,32,1103
3,28,82,1103
4,39,144,1103
5,70,180,1103
6,30,100,1103
7,23,54,1103
8,32,63,1103
12,3,11,1103
2,11,32,1104
3,24,82,1104
4,36,144,1104
5,67,180,1104
6,36,100,1104
7,20,54,1104
8,31,63,1104
12,1,11,1104
2,11,32,1105
3,21,82,1105
4,38,144,1105
5,52,180,1105
6,26,100,1105
7,24,54,1105
8,25,63,1105
12,1,11,1105
2,13,32,1106
3,33,82,1106
4,38,144,1106
5,67,180,1106
6,31,100,1106
7,26,54,1106
8,30,63,1106
12,4,11,1106
2,12,32,1107
3,18,82,1107
4,40,144,1107
5,59,180,1107
6,39,100,1107
7,25,54,1107
8,36,63,1107
12,5,11,1107
2,11,32,1108
3,23,82,1108
4,38,144,1108
5,61,180,1108
6,34,100,1108
7,26,54,1108
8,24,63,1108
12,1,11,1108
2,11,32,1109
3,31,82,1109
4,31,144,1109
5,59,180,1109
6,37,100,1109
7,22,54,1109
8,23,63,1109
12,2,11,1109
2,10,32,1110
3,34,82,1110
4,50,144,1110
5,52,180,1110
6,31,100,1110
7,20,54,1110
8,26,63,1110
12,1,11,1110
2,14,32,1111
3,25,82,1111
4,48,144,1111
5,60,180,1111
6,28,100,1111
7,21,54,1111
8,26,63,1111
12,1,11,1111
2,14,32,1112
3,35,82,1112
4,44,144,1112
5,64,180,1112
6,32,100,1112
7,15,54,1112
8,25,63,1112
12,4,11,1112
2,11,32,1113
3,36,82,1113
4,41,144,1113
5,71,180,1113
6,43,100,1113
7,30,54,1113
8,26,63,1113
12,1,11,1113
2,9,32,1114
3,23,82,1114
4,28,144,1114
5,65,180,1114
6,37,100,1114
7,25,54,1114
8,24,63,1114
12,0,11,1114
2,17,32,1115
3,22,82,1115
4,52,144,1115
5,75,180,1115
6,32,100,1115
7,20,54,1115
8,25,63,1115
12,0,11,1115
2,12,32,1116
3,28,82,1116
4,46,144,1116
5,63,180,1116
6,40,100,1116
7,21,54,1116
8,35,63,1116
12,5,11,1116
2,12,32,1117
3,25,82,1117
4,41,144,1117
5,54,180,1117
6,36,100,1117
7,26,54,1117
8,22,63,1117
12,1,11,1117
2,10,32,1118
3,23,82,1118
4,37,144,1118
5,53,180,1118
6,32,100,1118
7,26,54,1118
8,30,63,1118
12,2,11,1118
2,12,32,1119
3,29,82,1119
4,30,144,1119
5,58,180,1119
6,20,100,1119
7,22,54,1119
8,32,63,1119
12,2,11,1119
2,10,32,1120
3,26,82,1120
4,40,144,1120
5,70,180,1120
6,33,100,1120
7,21,54,1120
8,25,63,1120
12,4,11,1120
2,14,32,1121
3,34,82,1121
4,33,144,1121
5,65,180,1121
6,37,100,1121
7,27,54,1121
8,25,63,1121
12,2,11,1121
2,7,32,1122
3,23,82,1122
4,42,144,1122
5,63,180,1122
6,38,100,1122
7,22,54,1122
8,33,63,1122
12,2,11,1122
2,16,32,1123
3,30,82,1123
4,42,144,1123
5,50,180,1123
6,33,100,1123
7,25,54,1123
8,22,63,1123
12,3,11,1123
2,10,32,1124
3,25,82,1124
4,38,144,1124
5,66,180,1124
6,28,100,1124
7,20,54,1124
8,26,63,1124
12,6,11,1124
2,8,32,1125
3,31,82,1125
4,33,144,1125
5,54,180,1125
6,19,100,1125
7,15,54,1125
8,17,63,1125
12,2,11,1125
2,6,32,1126
3,34,82,1126
4,46,144,1126
5,63,180,1126
6,32,100,1126
7,26,54,1126
8,26,63,1126
12,1,11,1126
2,13,32,1127
3,28,82,1127
4,48,144,1127
5,60,180,1127
6,36,100,1127
7,28,54,1127
8,23,63,1127
12,7,11,1127
2,12,32,1128
3,32,82,1128
4,39,144,1128
5,51,180,1128
6,36,100,1128
7,32,54,1128
8,24,63,1128
12,1,11,1128
2,12,32,1129
3,25,82,1129
4,45,144,1129
5,67,180,1129
6,43,100,1129
7,24,54,1129
8,25,63,1129
12,2,11,1129
2,10,32,1130
3,28,82,1130
4,40,144,1130
5,55,180,1130
6,43,100,1130
7,23,54,1130
8,27,63,1130
12,4,11,1130
2,11,32,1131
3,32,82,1131
4,50,144,1131
5,58,180,1131
6,32,100,1131
7,30,54,1131
8,28,63,1131
12,4,11,1131
2,11,32,1132
3,34,82,1132
4,33,144,1132
5,59,180,1132
6,26,100,1132
7,22,54,1132
8,29,63,1132
12,1,11,1132
2,12,32,1133
3,25,82,1133
4,29,144,1133
5,80,180,1133
6,36,100,1133
7,22,54,1133
8,27,63,1133
12,3,11,1133
2,12,32,1134
3,35,82,1134
4,34,144,1134
5,49,180,1134
6,36,100,1134
7,24,54,1134
8,30,63,1134
12,2,11,1134
2,11,32,1135
3,27,82,1135
4,33,144,1135
5,56,180,1135
6,37,100,1135
7,14,54,1135
8,28,63,1135
12,0,11,1135
2,8,32,1136
3,29,82,1136
4,39,144,1136
5,51,180,1136
6,33,100,1136
7,17,54,1136
8,25,63,1136
12,2,11,1136
2,14,32,1137
3,26,82,1137
4,30,144,1137
5,56,180,1137
6,24,100,1137
7,26,54,1137
8,23,63,1137
12,3,11,1137
2,9,32,1138
3,30,82,1138
4,31,144,1138
5,55,180,1138
6,32,100,1138
7,23,54,1138
8,24,63,1138
12,3,11,1138
2,11,32,1139
3,26,82,1139
4,33,144,1139
5,65,180,1139
6,48,100,1139
7,26,54,1139
8,19,63,1139
12,1,11,1139
2,13,32,1140
3,25,82,1140
4,47,144,1140
5,62,180,1140
6,33,100,1140
7,23,54,1140
8,30,63,1140
12,0,11,1140
2,15,32,1141
3,26,82,1141
4,35,144,1141
5,72,180,1141
6,37,100,1141
7,19,54,1141
8,31,63,1141
12,2,11,1141
2,12,32,1142
3,33,82,1142
4,54,144,1142
5,61,180,1142
6,39,100,1142
7,17,54,1142
8,27,63,1142
12,1,11,1142
2,11,32,1143
3,16,82,1143
4,34,144,1143
5,60,180,1143
6,40,100,1143
7,24,54,1143
8,35,63,1143
12,5,11,1143
2,11,32,1144
3,28,82,1144
4,37,144,1144
5,74,180,1144
6,34,100,1144
7,16,54,1144
8,23,63,1144
12,3,11,1144
2,9,32,1145
3,32,82,1145
4,34,144,1145
5,59,180,1145
6,35,100,1145
7,21,54,1145
8,24,63,1145
12,0,11,1145
2,13,32,1146
3,32,82,1146
4,43,144,1146
5,61,180,1146
6,31,100,1146
7,24,54,1146
8,27,63,1146
12,0,11,1146
2,7,32,1147
3,31,82,1147
4,32,144,1147
5,70,180,1147
6,34,100,1147
7,19,54,1147
8,22,63,1147
12,3,11,1147
2,9,32,1148
3,24,82,1148
4,33,144,1148
5,54,180,1148
6,26,100,1148
7,20,54,1148
8,25,63,1148
12,1,11,1148
2,14,32,1149
3,30,82,1149
4,35,144,1149
5,67,180,1149
6,29,100,1149
7,27,54,1149
8,29,63,1149
12,0,11,1149
2,13,32,1150
3,26,82,1150
4,43,144,1150
5,72,180,1150
6,39,100,1150
7,20,54,1150
8,29,63,1150
12,0,11,1150
2,12,32,1151
3,21,82,1151
4,41,144,1151
5,54,180,1151
6,27,100,1151
7,18,54,1151
8,29,63,1151
12,3,11,1151
2,17,32,1152
3,32,82,1152
4,44,144,1152
5,53,180,1152
6,46,100,1152
7,18,54,1152
8,26,63,1152
12,0,11,1152
2,10,32,1153
3,29,82,1153
4,39,144,1153
5,58,180,1153
6,39,100,1153
7,18,54,1153
8,30,63,1153
12,5,11,1153
2,9,32,1154
3,28,82,1154
4,44,144,1154
5,58,180,1154
6,29,100,1154
7,20,54,1154
8,26,63,1154
12,1,11,1154
2,11,32,1155
3,22,82,1155
4,40,144,1155
5,60,180,1155
6,30,100,1155
7,24,54,1155
8,29,63,1155
12,2,11,1155
2,12,32,1156
3,29,82,1156
4,40,144,1156
5,67,180,1156
6,37,100,1156
7,20,54,1156
8,29,63,1156
12,1,11,1156
2,15,32,1157
3,28,82,1157
4,55,144,1157
5,75,180,1157
6,40,100,1157
7,23,54,1157
8,32,63,1157
12,2,11,1157
2,9,32,1158
3,26,82,1158
4,37,144,1158
5,68,180,1158
6,48,100,1158
7,26,54,1158
8,33,63,1158
12,2,11,1158
2,12,32,1159
3,26,82,1159
4,46,144,1159
5,56,180,1159
6,32,100,1159
7,20,54,1159
8,26,63,1159
12,6,11,1159
2,9,32,1160
3,33,82,1160
4,37,144,1160
5,54,180,1160
6,35,100,1160
7,25,54,1160
8,23,63,1160
12,2,11,1160
2,12,32,1161
3,37,82,1161
4,43,144,1161
5,56,180,1161
6,46,100,1161
7,27,54,1161
8,26,63,1161
12,5,11,1161
2,15,32,1162
3,31,82,1162
4,49,144,1162
5,61,180,1162
6,33,100,1162
7,28,54,1162
8,36,63,1162
12,3,11,1162
2,14,32,1163
3,38,82,1163
4,54,144,1163
5,51,180,1163
6,29,100,1163
7,16,54,1163
8,24,63,1163
12,1,11,1163
2,11,32,1164
3,35,82,1164
4,48,144,1164
5,57,180,1164
6,38,100,1164
7,27,54,1164
8,25,63,1164
12,5,11,1164
2,12,32,1165
3,29,82,1165
4,36,144,1165
5,56,180,1165
6,39,100,1165
7,24,54,1165
8,13,63,1165
12,1,11,1165
2,13,32,1166
3,28,82,1166
4,53,144,1166
5,73,180,1166
6,33,100,1166
7,14,54,1166
8,25,63,1166
12,4,11,1166
2,14,32,1167
3,28,82,1167
4,37,144,1167
5,61,180,1167
6,40,100,1167
7,21,54,1167
8,30,63,1167
12,3,11,1167
2,12,32,1168
3,30,82,1168
4,34,144,1168
5,65,180,1168
6,33,100,1168
7,15,54,1168
8,36,63,1168
12,3,11,1168
2,9,32,1169
3,27,82,1169
4,50,144,1169
5,67,180,1169
6,45,100,1169
7,26,54,1169
8,30,63,1169
12,2,11,1169
2,9,32,1170
3,24,82,1170
4,44,144,1170
5,66,180,1170
6,36,100,1170
7,18,54,1170
8,31,63,1170
12,3,11,1170
2,12,32,1171
3,30,82,1171
4,36,144,1171
5,63,180,1171
6,28,100,1171
7,19,54,1171
8,25,63,1171
12,1,11,1171
2,9,32,1172
3,32,82,1172
4,45,144,1172
5,61,180,1172
6,33,100,1172
7,20,54,1172
8,18,63,1172
12,2,11,1172
2,14,32,1173
3,29,82,1173
4,44,144,1173
5,74,180,1173
6,38,100,1173
7,21,54,1173
8,26,63,1173
12,0,11,1173
2,8,32,1174
3,22,82,1174
4,35,144,1174
5,62,180,1174
6,38,100,1174
7,29,54,1174
8,26,63,1174
12,3,11,1174
2,9,32,1175
3,28,82,1175
4,36,144,1175
5,57,180,1175
6,35,100,1175
7,15,54,1175
8,40,63,1175
12,3,11,1175
2,10,32,1176
3,31,82,1176
4,39,144,1176
5,67,180,1176
6,33,100,1176
7,24,54,1176
8,30,63,1176
12,1,11,1176
2,14,32,1177
3,39,82,1177
4,43,144,1177
5,76,180,1177
6,44,100,1177
7,26,54,1177
8,29,63,1177
12,3,11,1177
2,14,32,1178
3,32,82,1178
4,43,144,1178
5,65,180,1178
6,35,100,1178
7,26,54,1178
8,26,63,1178
12,5,11,1178
2,13,32,1179
3,26,82,1179
4,43,144,1179
5,51,180,1179
6,35,100,1179
7,19,54,1179
8,29,63,1179
12,4,11,1179
2,9,32,1180
3,26,82,1180
4,45,144,1180
5,55,180,1180
6,31,100,1180
7,21,54,1180
8,14,63,1180
12,4,11,1180
2,9,32,1181
3,30,82,1181
4,36,144,1181
5,70,180,1181
6,41,100,1181
7,19,54,1181
8,21,63,1181
12,4,11,1181
2,10,32,1182
3,24,82,1182
4,40,144,1182
5,58,180,1182
6,34,100,1182
7,25,54,1182
8,28,63,1182
12,0,11,1182
2,9,32,1183
3,25,82,1183
4,50,144,1183
5,71,180,1183
6,41,100,1183
7,27,54,1183
8,26,63,1183
12,4,11,1183
2,9,32,1184
3,28,82,1184
4,40,144,1184
5,49,180,1184
6,44,100,1184
7,22,54,1184
8,28,63,1184
12,4,11,1184
2,11,32,1185
3,35,82,1185
4,45,144,1185
5,67,180,1185
6,45,100,1185
7,21,54,1185
8,27,63,1185
12,2,11,1185
2,13,32,1186
3,22,82,1186
4,32,144,1186
5,73,180,1186
6,34,100,1186
7,27,54,1186
8,23,63,1186
12,1,11,1186
2,10,32,1187
3,30,82,1187
4,49,144,1187
5,59,180,1187
6,37,100,1187
7,25,54,1187
8,34,63,1187
12,1,11,1187
2,14,32,1188
3,25,82,1188
4,32,144,1188
5,70,180,1188
6,35,100,1188
7,23,54,1188
8,26,63,1188
12,0,11,1188
2,12,32,1189
3,29,82,1189
4,42,144,1189
5,66,180,1189
6,35,100,1189
7,21,54,1189
8,24,63,1189
12,0,11,1189
2,8,32,1190
3,24,82,1190
4,39,144,1190
5,64,180,1190
6,41,100,1190
7,28,54,1190
8,33,63,1190
12,1,11,1190
2,9,32,1191
3,31,82,1191
4,33,144,1191
5,61,180,1191
6,35,100,1191
7,17,54,1191
8,20,63,1191
12,2,11,1191
2,11,32,1192
3,32,82,1192
4,38,144,1192
5,64,180,1192
6,34,100,1192
7,25,54,1192
8,40,63,1192
12,2,11,1192
2,13,32,1193
3,23,82,1193
4,41,144,1193
5,60,180,1193
6,41,100,1193
7,18,54,1193
8,29,63,1193
12,1,11,1193
2,12,32,1194
3,26,82,1194
4,44,144,1194
5,57,180,1194
6,43,100,1194
7,26,54,1194
8,28,63,1194
12,5,11,1194
2,16,32,1195
3,40,82,1195
4,37,144,1195
5,74,180,1195
6,32,100,1195
7,19,54,1195
8,25,63,1195
12,3,11,1195
2,14,32,1196
3,25,82,1196
4,42,144,1196
5,52,180,1196
6,36,100,1196
7,27,54,1196
8,31,63,1196
12,2,11,1196
2,7,32,1197
3,25,82,1197
4,32,144,1197
5,56,180,1197
6,35,100,1197
7,17,54,1197
8,22,63,1197
12,3,11,1197
2,10,32,1198
3,28,82,1198
4,48,144,1198
5,77,180,1198
6,38,100,1198
7,29,54,1198
8,27,63,1198
12,2,11,1198
2,10,32,1199
3,28,82,1199
4,52,144,1199
5,73,180,1199
6,43,100,1199
7,28,54,1199
8,31,63,1199
12,3,11,1199
2,11,32,1200
3,30,82,1200
4,47,144,1200
5,72,180,1200
6,37,100,1200
7,22,54,1200
8,23,63,1200
12,2,11,1200
2,16,32,1201
3,32,82,1201
4,45,144,1201
5,60,180,1201
6,35,100,1201
7,24,54,1201
8,28,63,1201
12,2,11,1201
2,11,32,1202
3,27,82,1202
4,27,144,1202
5,61,180,1202
6,33,100,1202
7,22,54,1202
8,28,63,1202
12,2,11,1202
2,8,32,1203
3,27,82,1203
4,28,144,1203
5,46,180,1203
6,38,100,1203
7,23,54,1203
8,23,63,1203
12,5,11,1203
2,10,32,1204
3,25,82,1204
4,34,144,1204
5,62,180,1204
6,33,100,1204
7,21,54,1204
8,33,63,1204
12,1,11,1204
2,9,32,1205
3,32,82,1205
4,43,144,1205
5,58,180,1205
6,33,100,1205
7,23,54,1205
8,25,63,1205
12,0,11,1205
2,13,32,1206
3,32,82,1206
4,44,144,1206
5,61,180,1206
6,32,100,1206
7,25,54,1206
8,20,63,1206
12,3,11,1206
2,6,32,1207
3,28,82,1207
4,32,144,1207
5,61,180,1207
6,33,100,1207
7,19,54,1207
8,27,63,1207
12,1,11,1207
2,13,32,1208
3,29,82,1208
4,44,144,1208
5,68,180,1208
6,45,100,1208
7,19,54,1208
8,24,63,1208
12,4,11,1208
2,13,32,1209
3,24,82,1209
4,33,144,1209
5,57,180,1209
6,36,100,1209
7,26,54,1209
8,19,63,1209
12,2,11,1209
2,11,32,1210
3,23,82,1210
4,34,144,1210
5,68,180,1210
6,29,100,1210
7,26,54,1210
8,25,63,1210
12,4,11,1210
2,9,32,1211
3,24,82,1211
4,42,144,1211
5,60,180,1211
6,34,100,1211
7,25,54,1211
8,29,63,1211
12,1,11,1211
2,15,32,1212
3,30,82,1212
4,31,144,1212
5,70,180,1212
6,31,100,1212
7,22,54,1212
8,23,63,1212
12,3,11,1212
2,14,32,1213
3,24,82,1213
4,46,144,1213
5,55,180,1213
6,53,100,1213
7,29,54,1213
8,31,63,1213
12,4,11,1213
2,11,32,1214
3,22,82,1214
4,44,144,1214
5,57,180,1214
6,38,100,1214
7,22,54,1214
8,18,63,1214
12,1,11,1214
2,12,32,1215
3,31,82,1215
4,49,144,1215
5,60,180,1215
6,28,100,1215
7,19,54,1215
8,20,63,1215
12,1,11,1215
2,5,32,1216
3,27,82,1216
4,50,144,1216
5,69,180,1216
6,41,100,1216
7,25,54,1216
8,41,63,1216
12,4,11,1216
2,8,32,1217
3,31,82,1217
4,39,144,1217
5,58,180,1217
6,42,100,1217
7,21,54,1217
8,29,63,1217
12,5,11,1217
2,7,32,1218
3,29,82,1218
4,35,144,1218
5,55,180,1218
6,36,100,1218
7,18,54,1218
8,22,63,1218
12,1,11,1218
2,11,32,1219
3,26,82,1219
4,35,144,1219
5,73,180,1219
6,36,100,1219
7,26,54,1219
8,30,63,1219
12,6,11,1219
2,10,32,1220
3,21,82,1220
4,23,144,1220
5,63,180,1220
6,29,100,1220
7,20,54,1220
8,32,63,1220
12,3,11,1220
2,8,32,1221
3,27,82,1221
4,38,144,1221
5,55,180,1221
6,19,100,1221
7,22,54,1221
8,26,63,1221
12,2,11,1221
2,17,32,1222
3,32,82,1222
4,41,144,1222
5,52,180,1222
6,32,100,1222
7,23,54,1222
8,30,63,1222
12,2,11,1222
2,11,32,1223
3,16,82,1223
4,40,144,1223
5,54,180,1223
6,47,100,1223
7,20,54,1223
8,17,63,1223
12,4,11,1223
2,7,32,1224
3,27,82,1224
4,42,144,1224
5,68,180,1224
6,36,100,1224
7,18,54,1224
8,21,63,1224
12,5,11,1224
2,7,32,1225
3,23,82,1225
4,34,144,1225
5,58,180,1225
6,32,100,1225
7,20,54,1225
8,26,63,1225
12,2,11,1225
2,17,32,1226
3,27,82,1226
4,46,144,1226
5,64,180,1226
6,31,100,1226
7,27,54,1226
8,29,63,1226
12,3,11,1226
2,12,32,1227
3,31,82,1227
4,31,144,1227
5,66,180,1227
6,30,100,1227
7,25,54,1227
8,27,63,1227
12,2,11,1227
2,7,32,1228
3,35,82,1228
4,34,144,1228
5,48,180,1228
6,37,100,1228
7,18,54,1228
8,23,63,1228
12,4,11,1228
2,12,32,1229
3,35,82,1229
4,43,144,1229
5,69,180,1229
6,44,100,1229
7,22,54,1229
8,27,63,1229
12,4,11,1229
2,16,32,1230
3,34,82,1230
4,40,144,1230
5,61,180,1230
6,44,100,1230
7,25,54,1230
8,25,63,1230
12,2,11,1230
2,15,32,1231
3,23,82,1231
4,38,144,1231
5,54,180,1231
6,26,100,1231
7,25,54,1231
8,26,63,1231
12,7,11,1231
2,8,32,1232
3,40,82,1232
4,46,144,1232
5,63,180,1232
6,31,100,1232
7,27,54,1232
8,27,63,1232
12,2,11,1232
2,4,32,1233
3,24,82,1233
4,39,144,1233
5,46,180,1233
6,26,100,1233
7,24,54,1233
8,18,63,1233
12,6,11,1233
2,10,32,1234
3,31,82,1234
4,31,144,1234
5,58,180,1234
6,37,100,1234
7,21,54,1234
8,28,63,1234
12,3,11,1234
2,10,32,1235
3,28,82,1235
4,42,144,1235
5,72,180,1235
6,37,100,1235
7,24,54,1235
8,29,63,1235
12,4,11,1235
2,11,32,1236
3,21,82,1236
4,41,144,1236
5,68,180,1236
6,40,100,1236
7,20,54,1236
8,32,63,1236
12,1,11,1236
2,9,32,1237
3,31,82,1237
4,49,144,1237
5,64,180,1237
6,43,100,1237
7,23,54,1237
8,25,63,1237
12,1,11,1237
2,13,32,1238
3,31,82,1238
4,35,144,1238
5,67,180,1238
6,39,100,1238
7,31,54,1238
8,35,63,1238
12,4,11,1238
2,8,32,1239
3,26,82,1239
4,37,144,1239
5,56,180,1239
6,39,100,1239
7,25,54,1239
8,25,63,1239
12,0,11,1239
2,9,32,1240
3,24,82,1240
4,39,144,1240
5,53,180,1240
6,30,100,1240
7,22,54,1240
8,32,63,1240
12,0,11,1240
2,12,32,1241
3,27,82,1241
4,38,144,1241
5,64,180,1241
6,39,100,1241
7,25,54,1241
8,23,63,1241
12,1,11,1241
2,10,32,1242
3,27,82,1242
4,32,144,1242
5,63,180,1242
6,31,100,1242
7,22,54,1242
8,17,63,1242
12,1,11,1242
2,13,32,1243
3,35,82,1243
4,44,144,1243
5,74,180,1243
6,31,100,1243
7,24,54,1243
8,28,63,1243
12,2,11,1243
2,7,32,1244
3,38,82,1244
4,34,144,1244
5,69,180,1244
6,43,100,1244
7,25,54,1244
8,40,63,1244
12,4,11,1244
2,9,32,1245
3,28,82,1245
4,33,144,1245
5,51,180,1245
6,34,100,1245
7,18,54,1245
8,25,63,1245
12,2,11,1245
2,14,32,1246
3,21,82,1246
4,40,144,1246
5,59,180,1246
6,36,100,1246
7,24,54,1246
8,30,63,1246
12,3,11,1246
2,13,32,1247
