"hhsize","nInfContacts","nContacts","sim"
5,73,180,146
6,41,100,146
7,16,54,146
8,24,63,146
12,0,11,146
2,11,32,147
3,23,82,147
4,38,144,147
5,63,180,147
6,33,100,147
7,23,54,147
8,22,63,147
12,3,11,147
2,12,32,148
3,23,82,148
4,35,144,148
5,63,180,148
6,35,100,148
7,21,54,148
8,30,63,148
12,3,11,148
2,11,32,149
3,23,82,149
4,44,144,149
5,61,180,149
6,44,100,149
7,24,54,149
8,32,63,149
12,5,11,149
2,12,32,150
3,34,82,150
4,43,144,150
5,67,180,150
6,40,100,150
7,24,54,150
8,31,63,150
12,0,11,150
2,11,32,151
3,26,82,151
4,35,144,151
5,55,180,151
6,28,100,151
7,19,54,151
8,32,63,151
12,1,11,151
2,15,32,152
3,26,82,152
4,49,144,152
5,67,180,152
6,32,100,152
7,28,54,152
8,20,63,152
12,1,11,152
2,8,32,153
3,27,82,153
4,57,144,153
5,60,180,153
6,33,100,153
7,27,54,153
8,26,63,153
12,4,11,153
2,13,32,154
3,32,82,154
4,51,144,154
5,71,180,154
6,33,100,154
7,22,54,154
8,28,63,154
12,0,11,154
2,9,32,155
3,31,82,155
4,34,144,155
5,48,180,155
6,35,100,155
7,23,54,155
8,27,63,155
12,3,11,155
2,9,32,156
3,27,82,156
4,40,144,156
5,65,180,156
6,34,100,156
7,27,54,156
8,26,63,156
12,2,11,156
2,9,32,157
3,21,82,157
4,37,144,157
5,52,180,157
6,26,100,157
7,22,54,157
8,23,63,157
12,3,11,157
2,16,32,158
3,30,82,158
4,48,144,158
5,51,180,158
6,28,100,158
7,21,54,158
8,26,63,158
12,3,11,158
2,9,32,159
3,29,82,159
4,40,144,159
5,58,180,159
6,26,100,159
7,18,54,159
8,21,63,159
12,2,11,159
2,19,32,160
3,30,82,160
4,50,144,160
5,50,180,160
6,30,100,160
7,20,54,160
8,27,63,160
12,4,11,160
2,10,32,161
3,24,82,161
4,37,144,161
5,62,180,161
6,28,100,161
7,27,54,161
8,25,63,161
12,0,11,161
2,15,32,162
3,24,82,162
4,44,144,162
5,68,180,162
6,37,100,162
7,23,54,162
8,22,63,162
12,3,11,162
2,11,32,163
3,27,82,163
4,34,144,163
5,69,180,163
6,43,100,163
7,23,54,163
8,16,63,163
12,4,11,163
2,12,32,164
3,28,82,164
4,45,144,164
5,56,180,164
6,27,100,164
7,24,54,164
8,14,63,164
12,1,11,164
2,14,32,165
3,21,82,165
4,33,144,165
5,60,180,165
6,25,100,165
7,21,54,165
8,29,63,165
12,3,11,165
2,6,32,166
3,24,82,166
4,39,144,166
