iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
4080 -2095.81 0.0110331 40 8 1.09972 40 7 0.827264 40 8 0.171073 40 4 0.0765216 40 10 0.183103 40 8 0.402866 40 6 0.227337 40 11 0.407288 40 8 0.6 0 0 19360 15719
4120 -2134.19 0.0137112 40 8 1.29353 40 9 0.671561 40 10 0.196099 40 8 0.0952803 40 9 0.104753 40 15 0.358347 40 6 0.137405 40 9 0.204136 40 11 0.6 0 0 19360 15794
4160 -2100.64 0.0122689 40 7 1.27901 40 3 0.810041 40 6 0.198215 40 9 0.0687379 40 14 0.12174 40 9 0.3478 40 7 0.0812965 40 10 0.178645 40 11 0.6 0 0 19360 15795
4200 -2122.27 0.0124192 40 11 1.12594 40 6 0.573891 40 7 0.148872 40 10 0.0346643 40 12 0.105219 40 15 0.545754 40 8 0.14939 40 9 0.34038 40 3 0.6 0 0 19360 15744
4240 -2114.3 0.016207 40 12 1.12656 40 5 0.67115 40 10 0.10853 40 10 0.128355 40 8 0.101457 40 11 0.456421 40 6 0.137203 40 8 0.322869 40 16 0.6 0 0 19360 15789
4280 -2102.2 0.0119806 40 7 0.923991 40 7 0.581459 40 8 0.25496 40 7 0.0803681 40 12 0.10271 40 11 0.614786 40 9 0.186288 40 8 0.194366 40 10 0.6 0 0 19360 15873
4320 -2145.67 0.0144238 40 13 0.820141 40 7 0.203159 40 12 0.345818 40 7 0.132832 40 13 0.159554 40 8 0.474092 40 5 0.140217 40 7 0.565555 40 8 0.6 0 0 19360 15763
4360 -2127.17 0.0129704 40 11 0.880368 40 6 0.697972 40 9 0.150172 40 7 0.0744858 40 8 0.152754 40 7 0.606838 40 3 0.157774 40 8 0.0533363 40 7 0.6 0 0 19360 15789
4400 -2124.35 0.0140445 40 7 1.05829 40 7 0.898785 40 7 0.381142 40 10 0.0799685 40 9 0.0787277 40 8 0.703934 40 4 0.176966 40 9 0.175746 40 7 0.6 0 0 19360 16011
4440 -2137.47 0.0116802 40 9 0.997018 40 6 0.627805 40 6 0.143259 40 7 0.0509244 40 8 0.165664 40 4 0.624978 40 4 0.217526 40 11 0.277212 40 9 0.6 0 0 19360 15603
